SoldDate,Year,TotalSold
1/1/2011,0,985
1/2/2011,0,801
1/3/2011,0,1349
1/4/2011,0,1562
1/5/2011,0,1600
1/6/2011,0,1606
1/7/2011,0,1510
1/8/2011,0,959
1/9/2011,0,822
1/10/2011,0,1321
1/11/2011,0,1263
1/12/2011,0,1162
1/13/2011,0,1406
1/14/2011,0,1421
1/15/2011,0,1248
1/16/2011,0,1204
1/17/2011,0,1000
1/18/2011,0,683
1/19/2011,0,1650
1/20/2011,0,1927
1/21/2011,0,1543
1/22/2011,0,981
1/23/2011,0,986
1/24/2011,0,1416
1/25/2011,0,1985
1/26/2011,0,506
1/27/2011,0,431
1/28/2011,0,1167
1/29/2011,0,1098
1/30/2011,0,1096
1/31/2011,0,1501
2/1/2011,0,1360
2/2/2011,0,1526
2/3/2011,0,1550
2/4/2011,0,1708
2/5/2011,0,1005
2/6/2011,0,1623
2/7/2011,0,1712
2/8/2011,0,1530
2/9/2011,0,1605
2/10/2011,0,1538
2/11/2011,0,1746
2/12/2011,0,1472
2/13/2011,0,1589
2/14/2011,0,1913
2/15/2011,0,1815
2/16/2011,0,2115
2/17/2011,0,2475
2/18/2011,0,2927
2/19/2011,0,1635
2/20/2011,0,1812
2/21/2011,0,1107
2/22/2011,0,1450
2/23/2011,0,1917
2/24/2011,0,1807
2/25/2011,0,1461
2/26/2011,0,1969
2/27/2011,0,2402
2/28/2011,0,1446
3/1/2011,0,1851
3/2/2011,0,2134
3/3/2011,0,1685
3/4/2011,0,1944
3/5/2011,0,2077
3/6/2011,0,605
3/7/2011,0,1872
3/8/2011,0,2133
3/9/2011,0,1891
3/10/2011,0,623
3/11/2011,0,1977
3/12/2011,0,2132
3/13/2011,0,2417
3/14/2011,0,2046
3/15/2011,0,2056
3/16/2011,0,2192
3/17/2011,0,2744
3/18/2011,0,3239
3/19/2011,0,3117
3/20/2011,0,2471
3/21/2011,0,2077
3/22/2011,0,2703
3/23/2011,0,2121
3/24/2011,0,1865
3/25/2011,0,2210
3/26/2011,0,2496
3/27/2011,0,1693
3/28/2011,0,2028
3/29/2011,0,2425
3/30/2011,0,1536
3/31/2011,0,1685
4/1/2011,0,2227
4/2/2011,0,2252
4/3/2011,0,3249
4/4/2011,0,3115
4/5/2011,0,1795
4/6/2011,0,2808
4/7/2011,0,3141
4/8/2011,0,1471
4/9/2011,0,2455
4/10/2011,0,2895
4/11/2011,0,3348
4/12/2011,0,2034
4/13/2011,0,2162
4/14/2011,0,3267
4/15/2011,0,3126
4/16/2011,0,795
4/17/2011,0,3744
4/18/2011,0,3429
4/19/2011,0,3204
4/20/2011,0,3944
4/21/2011,0,4189
4/22/2011,0,1683
4/23/2011,0,4036
4/24/2011,0,4191
4/25/2011,0,4073
4/26/2011,0,4400
4/27/2011,0,3872
4/28/2011,0,4058
4/29/2011,0,4595
4/30/2011,0,5312
5/1/2011,0,3351
5/2/2011,0,4401
5/3/2011,0,4451
5/4/2011,0,2633
5/5/2011,0,4433
5/6/2011,0,4608
5/7/2011,0,4714
5/8/2011,0,4333
5/9/2011,0,4362
5/10/2011,0,4803
5/11/2011,0,4182
5/12/2011,0,4864
5/13/2011,0,4105
5/14/2011,0,3409
5/15/2011,0,4553
5/16/2011,0,3958
5/17/2011,0,4123
5/18/2011,0,3855
5/19/2011,0,4575
5/20/2011,0,4917
5/21/2011,0,5805
5/22/2011,0,4660
5/23/2011,0,4274
5/24/2011,0,4492
5/25/2011,0,4978
5/26/2011,0,4677
5/27/2011,0,4679
5/28/2011,0,4758
5/29/2011,0,4788
5/30/2011,0,4098
5/31/2011,0,3982
6/1/2011,0,3974
6/2/2011,0,4968
6/3/2011,0,5312
6/4/2011,0,5342
6/5/2011,0,4906
6/6/2011,0,4548
6/7/2011,0,4833
6/8/2011,0,4401
6/9/2011,0,3915
