Id,Age,Rating
767,33,4
1080,34,5
1077,60,3
1049,50,5
847,47,5
1080,49,2
858,39,5
858,39,4
1077,24,5
1077,34,5
1077,53,3
1095,39,5
1095,53,5
767,44,5
1077,50,3
1065,47,4
1065,34,3
853,41,5
1120,32,5
1077,47,5
847,33,4
1080,55,4
1077,31,2
1077,34,3
847,55,5
697,31,3
949,33,2
1003,31,4
684,53,5
4,28,5
1060,33,5
1060,46,5
1060,21,5
949,36,2
697,39,5
1060,65,4
1002,29,4
949,38,5
684,36,5
862,59,5
862,47,4
862,40,5
910,23,5
89,67,4
862,48,5
862,43,4
862,40,5
823,52,5
910,56,5
862,33,5
862,46,4
862,41,5
1104,39,3
862,39,5
862,66,4
862,61,5
368,33,2
862,31,3
1095,36,4
368,52,4
1095,41,5
368,36,1
862,28,5
862,57,5
862,43,5
862,58,4
862,60,4
862,40,5
862,37,2
1078,56,3
845,38,4
822,36,2
850,27,5
866,47,4
1081,59,5
845,48,5
1082,31,4
850,28,2
836,47,5
1081,62,4
1072,68,5
863,61,5
1133,33,5
822,68,5
861,37,3
866,58,1
850,39,4
1081,39,4
845,38,2
836,24,4
1078,51,4
850,29,5
861,23,5
1081,31,5
850,23,4
863,83,5
845,44,1
861,44,1
1133,50,5
861,33,3
861,39,4
863,40,4
822,69,5
822,23,2
863,51,2
836,66,5
836,47,4
836,66,4
836,23,5
1081,47,5
861,44,1
1081,44,3
836,50,5
1081,61,5
1082,32,2
863,52,4
1072,51,4
1078,32,5
850,37,2
836,54,5
861,33,5
966,63,5
1196,29,5
836,24,5
923,50,3
1072,34,3
1133,71,4
1133,30,5
966,52,4
863,28,5
845,62,4
1081,39,3
861,46,4
966,36,5
845,65,5
861,35,4
966,31,4
836,52,4
126,34,4
1008,31,5
829,36,5
828,39,4
1126,35,5
1008,51,5
829,39,3
828,39,3
1008,39,5
1011,47,5
1008,64,5
1008,38,5
1008,36,5
1008,39,4
829,53,3
829,36,3
829,44,3
829,48,5
1008,37,5
523,43,3
829,53,4
829,33,4
1126,39,4
829,52,1
829,64,4
1008,52,5
1126,42,4
829,35,3
1020,56,5
895,55,5
862,40,5
1104,47,5
670,36,5
329,46,5
670,66,4
868,51,4
1020,34,5
862,30,4
895,43,5
895,52,5
1094,35,2
895,41,5
895,39,5
1020,39,4
895,50,5
1020,27,4
895,33,2
895,35,2
1020,34,4
596,41,5
1094,54,4
1020,41,4
895,47,4
895,52,2
895,46,5
1020,22,5
1098,40,3
895,62,5
862,26,5
1020,38,5
895,53,5
1020,49,3
895,43,3
895,36,5
895,36,3
895,63,5
828,56,4
1020,48,3
862,43,5
1020,44,4
895,40,5
862,44,1
895,54,5
1020,72,4
1075,52,4
1104,47,5
1020,67,1
1094,39,5
305,46,2
828,64,5
1094,30,5
828,38,5
895,36,4
1020,52,5
895,61,5
647,29,5
1025,38,4
1025,35,5
815,55,5
1066,57,4
840,55,4
1026,39,4
840,39,5
1066,46,5
840,37,2
1030,29,5
840,83,5
1066,29,5
647,49,5
1066,42,2
872,63,5
840,56,3
1066,55,4
647,32,1
1066,26,5
840,60,4
1066,48,3
872,38,5
1066,49,3
1115,41,4
1030,28,5
1018,28,4
1026,48,5
840,32,5
1066,29,5
647,32,5
840,28,5
840,51,4
840,44,5
1018,43,4
840,48,3
824,37,5
1115,31,5
840,50,5
878,47,3
984,56,5
1104,25,5
878,63,4
1104,54,5
984,28,4
866,26,4
1104,29,5
868,61,3
984,45,5
984,39,5
1104,36,5
878,41,5
1182,37,5
868,55,5
868,83,5
868,35,3
565,38,5
984,35,5
1104,45,5
868,65,5
878,41,5
868,69,4
1104,36,5
868,42,2
984,69,5
878,46,2
984,55,5
984,36,5
984,71,5
1024,65,5
984,68,3
984,43,5
1104,30,5
1024,40,5
984,47,5
1104,39,5
984,34,5
1104,38,4
984,38,5
895,36,5
1104,41,5
1131,36,3
984,47,5
1104,63,5
831,35,5
984,35,4
1104,56,5
836,41,5
1089,37,3
844,34,3
836,32,4
836,60,3
836,21,5
836,59,5
844,53,5
936,27,5
895,62,5
836,41,5
831,50,5
